"DisplayName","DisplayVersion","Publisher","InstallDate"
"Windows XP Targeting with C++","11.0.51106","Microsoft Corporation","20161020"
"Go Programming Language amd64 go1.8.1","1.8.1","https://golang.org","20170520"
"Microsoft SQL Server 2012 Command Line Utilities ","11.0.2100.60","Microsoft Corporation","20161020"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20151121"
"Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Storyboarding Language Pack (x64) - ENU","14.98.25331","Microsoft","20161126"
"Visual Studio 2015 Prerequisites - CHS Language Pack","14.0.23107","Microsoft Corporation","20161126"
"Ansel","388.08","NVIDIA Corporation","20180118"
"NVIDIA 控制面板 388.08","388.08","NVIDIA Corporation","20180118"
"NVIDIA 图形驱动程序 388.08","388.08","NVIDIA Corporation","20180118"
"NVIDIA Optimus Update 29.1.0.0","29.1.0.0","NVIDIA Corporation","20180118"
"NVIDIA 更新 29.1.0.0","29.1.0.0","NVIDIA Corporation","20180118"
"NVIDIA Install Application","2.1002.259.2253","NVIDIA Corporation","20180118"
"NVIDIA Display Container","1.2","NVIDIA Corporation","20180118"
"NVIDIA Display Container LS","1.2","NVIDIA Corporation","20180118"
"NVIDIA Display Watchdog Plugin","1.2","NVIDIA Corporation","20180118"
"NVIDIA Display Session Container","1.2","NVIDIA Corporation","20180118"
"NVIDIA Telemetry Client","7.8.8.0","NVIDIA Corporation","20180118"
"NVIDIA Telemetry Container","7.8.8.0","NVIDIA Corporation","20180118"
"NVIDIA Update Core","2.11.4.0","NVIDIA Corporation","20171118"
"Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Storyboarding Language Pack (x64) - ENU","14.98.25331","Microsoft","20161020"
,,,
"Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - amd64","14.0.25420","Microsoft Corporation","20161020"
"Microsoft .NET Version Manager (x64) 1.0.0-beta5","1.0.10609.0","Microsoft Corporation","20161020"
"Microsoft Visual Studio 2015 性能收集工具 - 简体中文","14.0.23107","Microsoft Corporation","20161126"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20161119"
"Microsoft SQL Server 2016 T-SQL ScriptDom ","13.0.1601.5","Microsoft Corporation","20161020"
"VMware Player","12.5.6","VMware, Inc.","20170619"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.30319","10.0.30319","Microsoft Corporation","20161119"
"Visual Studio 2015 Prerequisites","14.0.23107","Microsoft Corporation","20161020"
"Microsoft SQL Server 2016 LocalDB ","13.0.1601.5","Microsoft Corporation","20161020"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24215","14.0.24215","Microsoft Corporation","20161020"
"Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Office Integration Language Pack (x64) - ENU","14.98.25331","Microsoft","20161020"
"Microsoft System CLR Types for SQL Server 2014","12.0.2402.29","Microsoft Corporation","20161020"
"Microsoft Visual Studio 2015 Performance Collection Tools","14.0.23107","Microsoft Corporation","20161126"
